URC/NYSE_ADV,NYSE: Number of Stocks with Prices Advancing
URC/NYSE_DEC,NYSE: Number of Stocks with Prices Declining
URC/NYSE_UNC,NYSE: Number of Stocks with Prices Unchanged
URC/NYSE_ADV_VOL,NYSE: Volume of Stocks with Prices Advancing
URC/NYSE_DEC_VOL,NYSE: Volume of Stocks with Prices Declining
URC/NYSE_UNCH_VOL,NYSE: Volume of Stocks with Prices Unchanged
URC/NYSE_52W_HI,NYSE: Number of Stocks Making 52-Week Highs
URC/NYSE_52W_LO,NYSE: Number of Stocks Making 52-Week Lows
URC/AMEX_ADV,AMEX: Number of Stocks with Prices Advancing
URC/AMEX_DEC,AMEX: Number of Stocks with Prices Declining
URC/AMEX_UNC,AMEX: Number of Stocks with Prices Unchanged
URC/AMEX_ADV_VOL,AMEX: Volume of Stocks with Prices Advancing
URC/AMEX_DEC_VOL,AMEX: Volume of Stocks with Prices Declining
URC/AMEX_UNCH_VOL,AMEX: Volume of Stocks with Prices Unchanged
URC/AMEX_52W_HI,AMEX: Number of Stocks Making 52-Week Highs
URC/AMEX_52W_LO,AMEX: Number of Stocks Making 52-Week Lows
URC/NASDAQ_ADV,NASDAQ: Number of Stocks with Prices Advancing
URC/NASDAQ_DEC,NASDAQ: Number of Stocks with Prices Declining
URC/NASDAQ_UNC,NASDAQ: Number of Stocks with Prices Unchanged
URC/NASDAQ_ADV_VOL,NASDAQ: Volume of Stocks with Prices Advancing
URC/NASDAQ_DEC_VOL,NASDAQ: Volume of Stocks with Prices Declining
URC/NASDAQ_UNCH_VOL,NASDAQ: Volume of Stocks with Prices Unchanged
URC/NASDAQ_52W_HI,NASDAQ: Number of Stocks Making 52-Week Highs
URC/NASDAQ_52W_LO,NASDAQ: Number of Stocks Making 52-Week Lows
URC/NYSE_UNCH,NYSE: Number of Stocks with Prices Unchanged
URC/AMEX_UNCH,AMEX: Number of Stocks with Prices Unchanged
URC/NASDAQ_UNCH,NASDAQ: Number of Stocks with Prices Unchanged
